classical waterfall model,iterative waterfall model,information system life cycle, software maintenance , requirements engineering process,classification of software requirements ,seven principles of software testing ,black box testing,white box testing,integration testing, user interface design,coupling and cohesion,spiral model,agile development models, sdlc v model ,incremental process model, extreme programming xp, rapid application development model rad,iterative waterfall model ,classical waterfall model,classical waterfall model,,,,,,,
classical waterfall model,information system life cycle, software maintenance ,seven principles of software testing ,white box testing,seven principles of software testing , rapid application development model rad,,,,,,,,,,,,,,,,,,,,,
classical waterfall model,iterative waterfall model, requirements engineering process, rapid application development model rad,white box testing,,,,,,,,,,,,,,,,,,,,,,,
information system life cycle, user interface design,coupling and cohesion,spiral model,,,,,,,,,,,,,,,,,,,,,,,,
 extreme programming xp,integration testing,classical waterfall model,,,,,,,,,,,,,,,,,,,,,,,,,
 software maintenance ,seven principles of software testing ,agile development models,,,,,,,,,,,,,,,,,,,,,,,,,
incremental process model, sdlc v model ,iterative waterfall model ,,,,,,,,,,,,,,,,,,,,,,,,,
coupling and cohesion,spiral model, sdlc v model ,,,,,,,,,,,,,,,,,,,,,,,,,
 extreme programming xp,classification of software requirements ,black box testing, requirements engineering process,,,,,,,,,,,,,,,,,,,,,,,,
introduction-of-operating-system-set-1,types-of-operating-systems,functions-of-operating-system,difference-between-multitasking-multithreading-and-multiprocessing,process-table-and-process-control-block-pcb,cpu-scheduling-in-operating-systems,preemptive-and-non-preemptive-scheduling,program-for-fcfs-cpu-scheduling-set-1,program-for-shortest-job-first-or-sjf-cpu-scheduling-set-1-non-preemptive,program-shortest-job-first-scheduling-set-2srtf-make-changesdoneplease-review,program-shortest-job-first-scheduling-set-2srtf-make-changesdoneplease-review,round-robin-scheduling-with-different-arrival-times,program-for-priority-cpu-scheduling-set-1,multilevel-queue-mlq-cpu-scheduling,multiple-processor-scheduling-in-operating-system,introduction-of-process-synchronization,g-fact-70,inter-process-communication-ipc,petersons-algorithm-in-process-synchronization,dekkers-algorithm-in-process-synchronization,bakery-algorithm-in-process-synchronization,producer-consumer-problem-using-semaphores-set-1,dining-philosopher-problem-using-semaphores,readers-writers-problem-set-1-introduction-and-readers-preference-solution,sleeping-barber-problem-in-process-synchronization,sleeping-barber-problem-in-process-synchronization,methods-in-interprocess-communication,all the notes
introduction-of-operating-system-set-1,types-of-operating-systems,difference-between-multitasking-multithreading-and-multiprocessing,preemptive-and-non-preemptive-scheduling,program-shortest-job-first-scheduling-set-2srtf-make-changesdoneplease-review,,,,,,,,,,,,,,,,,,,,,,,
types-of-operating-systems,preemptive-and-non-preemptive-scheduling,round-robin-scheduling-with-different-arrival-times,,,,,,,,,,,,,,,,,,,,,,,,,
g-fact-70,petersons-algorithm-in-process-synchronization,inter-process-communication-ipc,bakery-algorithm-in-process-synchronization,,,,,,,,,,,,,,,,,,,,,,,,
sleeping-barber-problem-in-process-synchronization,methods-in-interprocess-communication,petersons-algorithm-in-process-synchronization,process-table-and-process-control-block-pcb,,,,,,,,,,,,,,,,,,,,,,,,
cpu-scheduling-in-operating-systems,program-for-fcfs-cpu-scheduling-set-1,program-shortest-job-first-scheduling-set-2srtf-make-changesdoneplease-review,introduction-of-operating-system-set-1,types-of-operating-systems,,,,,,,,,,,,,,,,,,,,,,,
inter-process-communication-ipc,producer-consumer-problem-using-semaphores-set-1,sleeping-barber-problem-in-process-synchronization,dining-philosopher-problem-using-semaphores,,,,,,,,,,,,,,,,,,,,,,,,
program-for-fcfs-cpu-scheduling-set-1,difference-between-multitasking-multithreading-and-multiprocessing,program-for-fcfs-cpu-scheduling-set-1,multiple-processor-scheduling-in-operating-system,dining-philosopher-problem-using-semaphores,,,,,,,,,,,,,,,,,,,,,,,
g-fact-70,program-for-priority-cpu-scheduling-set-1,,,,,,,,,,,,,,,,,,,,,,,,,,
methods-in-interprocess-communication,difference-between-multitasking-multithreading-and-multiprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,
functions-of-operating-system,multilevel-queue-mlq-cpu-scheduling,program-for-priority-cpu-scheduling-set-1,,,,,,,,,,,,,,,,,,,,,,,,,
process-table-and-process-control-block-pcb,inter-process-communication-ipc,,,,,,,,,,,,,,,,,,,,,,,,,,
